ชื่อ,เบอร์โทร,ที่อยู่,โปรก่อนหน้า,วันที่สั่งซื้อ,ได้รับสินค้า,สถานะ,หัวข้อโทร,วันที่โทร,หมายเหตุ,ความสัมพันธ์ลูกค้า,ครั้งถัดไป,โปรสินค้า,มอบหมาย,ชื่อเล่น
"สุนิสา แก้วใส",0812345678,"123 ม.5 ต.ในเมือง อ.เมือง จ.สุรินทร์ 32000","หลงเลย 1แถม1(190)","2026-03-18","ได้รับแล้ว","รับสาย","10-15วัน","2026-03-20","โทรแล้ว สนใจ",3,"2026-04-05",399,"อร","นิ"
"ประภา ทองดี",0891234567,"45/2 ถ.มิตรภาพ ต.ในเมือง อ.เมือง จ.นครราชสีมา 30000","หลงเลย 1แถม1(190)","2026-03-15","รอส่ง","ไม่สะดวกคุย","ดูแลหลังการขาย","2026-03-19","ไม่สะดวก โทรอีกที",1,"2026-04-01",0,"หมวย","ภา"
"วรรณา สมใจ",0956789012,"78 ม.3 บ.โนนสูง ต.หนองบัว อ.เมือง จ.อุดรธานี 41000","หลงเลย 1แถม1(190)","","รอส่ง","ยังไม่ได้โทร","","","",0,"",0,"","แหม่ม"
"สมชาย พุ่มพวง",0634567890,"9/1 ซ.สุขสวัสดิ์ ต.ท่าพระ อ.เมือง จ.ขอนแก่น 40000","หลงเลย 1แถม1(190)","2026-03-20","ได้รับแล้ว","ไม่รับสาย","10-15วัน","2026-03-22","โทร 3 ครั้ง ไม่รับ",0,"2026-04-10",0,"โอ่","ชาย"
"มาลี ดอกไม้",0887654321,"234 ม.7 ต.บ้านเป็ด อ.เมือง จ.ขอนแก่น 40000","หลงเลย 1แถม1(190)","","รอส่ง","Vvip","10-15วัน","2026-03-18","ลูกค้าVIP สั่งประจำ",5,"2026-03-30",599,"อร","ลี"
"อนุชา เจริญสุข",0923456789,"56 ม.2 ต.โพนทอง อ.เมือง จ.ร้อยเอ็ด 45000","หลงเลย 1แถม1(190)","","รอส่ง","จอง","","","จองไว้ รอโอน",2,"2026-04-03",399,"จิ้บ","ชา"
"พรทิพย์ สุขสันต์",0845678901,"12/3 ถ.ราชดำเนิน ต.ในเมือง อ.เมือง จ.บุรีรัมย์ 31000","หลงเลย 1แถม1(190)","2026-03-10","ได้รับแล้ว","รับสาย","ดูแลหลังการขาย","2026-03-25","ได้รับแล้ว พอใจมาก",4,"2026-04-15",0,"หมวย","ทิพย์"
"วิทยา ใจกล้า",0867890123,"88 ม.4 ต.หัวทะเล อ.เมือง จ.นครราชสีมา 30000","หลงเลย 1แถม1(190)","","รอส่ง","ยังไม่ได้โทร","","","",0,"",0,"","ยา"
"สุดา รักเรียน",0911234567,"33/5 ม.1 ต.ลำปลายมาศ จ.บุรีรัมย์ 31130","หลงเลย 1แถม1(190)","","รอส่ง","ไม่รับสาย","10-15วัน","2026-03-21","โทรไม่รับ 2 ครั้ง",0,"2026-04-07",0,"อุ้ยอ้าย","ดา"
"ธนากร มั่นคง",0801122334,"67 ม.6 ต.บ้านด่าน จ.บุรีรัมย์ 31000","หลงเลย 1แถม1(190)","2026-03-22","ได้รับแล้ว","Vvip","10-15วัน","2026-03-24","ลูกค้าเก่า สั่งซ้ำ",5,"2026-04-20",799,"โอ่","กร"
